Cohort,Cage,Dam ID,DOB,Exp Start,Experiment,Mouse ,Sex,Condition,Arena,Trial
1,119447,279_C_2,6/23/2022,10/5/2022,ContextATest,2,F,Ctrl,2,Trial 8
1,119447,279_C_2,6/23/2022,10/5/2022,ContextATest,3,F,Ctrl,3,Trial 8
1,119447,279_C_2,6/23/2022,10/5/2022,ContextATest,4,F,Ctrl,4,Trial 8
1,119476,279_C_2,6/23/2022,10/5/2022,ContextATest,5,F,Ctrl,1,Trial 9
1,119476,279_C_2,6/23/2022,10/5/2022,ContextATest,6,F,Ctrl,2,Trial 9
1,114736,265_E_5,6/28/2022,10/5/2022,ContextATest,7,F,ELS,1,Trial 10
1,114736,265_E_5,6/28/2022,10/5/2022,ContextATest,8,F,ELS,2,Trial 10
1,114736,265_E_5,6/28/2022,10/5/2022,ContextATest,9,F,ELS,3,Trial 10
1,114736,265_E_5,6/28/2022,10/5/2022,ContextATest,10,F,ELS,4,Trial 10
1,114678,237_E_3,6/26/2022,10/5/2022,ContextATest,11,F,ELS,1,Trial 11
1,114678,237_E_3,6/26/2022,10/5/2022,ContextATest,12,F,ELS,2,Trial 11
1,114678,237_E_3,6/26/2022,10/5/2022,ContextATest,13,F,ELS,3,Trial 11
1,116303,288_C_2,6/16/2022,10/5/2022,ContextATest,1,M,Ctrl,1,Trial 12
1,116303,288_C_2,6/16/2022,10/5/2022,ContextATest,2,M,Ctrl,2,Trial 12
1,116303,288_C_2,6/16/2022,10/5/2022,ContextATest,3,M,Ctrl,3,Trial 12
1,116303,288_C_2,6/16/2022,10/5/2022,ContextATest,4,M,Ctrl,4,Trial 12
1,119470,237_E_3,6/26/2022,10/5/2022,ContextATest,5,M,ELS,1,Trial 13
1,119470,237_E_3,6/26/2022,10/5/2022,ContextATest,6,M,ELS,2,Trial 13
1,119470,237_E_3,6/26/2022,10/5/2022,ContextATest,7,M,ELS,3,Trial 13
1,119470,237_E_3,6/26/2022,10/5/2022,ContextATest,8,M,ELS,4,Trial 13
1,113342,265_E_5,6/28/2022,10/5/2022,ContextATest,9,M,ELS,1,Trial 14
1,113342,265_E_5,6/28/2022,10/5/2022,ContextATest,10,M,ELS,2,Trial 14
1,113342,265_E_5,6/28/2022,10/5/2022,ContextATest,11,M,ELS,3,Trial 14
1,119447,279_C_2,6/23/2022,10/7/2022,ContextBTest,1,F,Ctrl,1,Trial 15
1,119447,279_C_2,6/23/2022,10/7/2022,ContextBTest,2,F,Ctrl,2,Trial 15
1,119447,279_C_2,6/23/2022,10/7/2022,ContextBTest,3,F,Ctrl,3,Trial 16
1,119447,279_C_2,6/23/2022,10/7/2022,ContextBTest,4,F,Ctrl,4,Trial 16
1,119476,279_C_2,6/23/2022,10/7/2022,ContextBTest,5,F,Ctrl,1,Trial 17
1,119476,279_C_2,6/23/2022,10/7/2022,ContextBTest,6,F,Ctrl,2,Trial 17
1,114736,265_E_5,6/28/2022,10/7/2022,ContextBTest,7,F,ELS,1,Trial 18
1,114736,265_E_5,6/28/2022,10/7/2022,ContextBTest,8,F,ELS,2,Trial 18
1,114736,265_E_5,6/28/2022,10/7/2022,ContextBTest,9,F,ELS,3,Trial 19
1,114736,265_E_5,6/28/2022,10/7/2022,ContextBTest,10,F,ELS,4,Trial 19
1,114678,237_E_3,6/26/2022,10/7/2022,ContextBTest,11,F,ELS,1,Trial 20
1,114678,237_E_3,6/26/2022,10/7/2022,ContextBTest,12,F,ELS,2,Trial 20
1,114678,237_E_3,6/26/2022,10/7/2022,ContextBTest,13,F,ELS,3,Trial 21
1,116303,288_C_2,6/16/2022,10/7/2022,ContextBTest,1,M,Ctrl,1,Trial 21
1,116303,288_C_2,6/16/2022,10/7/2022,ContextBTest,2,M,Ctrl,2,Trial 22
1,116303,288_C_2,6/16/2022,10/7/2022,ContextBTest,3,M,Ctrl,3,Trial 22
1,116303,288_C_2,6/16/2022,10/7/2022,ContextBTest,4,M,Ctrl,4,Trial 23
1,119470,237_E_3,6/26/2022,10/7/2022,ContextBTest,5,M,ELS,1,Trial 23
1,119470,237_E_3,6/26/2022,10/7/2022,ContextBTest,6,M,ELS,2,Trial 24
1,119470,237_E_3,6/26/2022,10/7/2022,ContextBTest,7,M,ELS,3,Trial 24
1,119470,237_E_3,6/26/2022,10/7/2022,ContextBTest,8,M,ELS,4,Trial 25
1,113342,265_E_5,6/28/2022,10/7/2022,ContextBTest,9,M,ELS,1,Trial 25
1,113342,265_E_5,6/28/2022,10/7/2022,ContextBTest,10,M,ELS,2,Trial 26
1,113342,265_E_5,6/28/2022,10/7/2022,ContextBTest,11,M,ELS,3,Trial 26
1,119447,279_C_2,6/23/2022,11/3/2022,ContextBTest,1,F,Ctrl,1,Trial 28
1,119447,279_C_2,6/23/2022,11/3/2022,ContextBTest,2,F,Ctrl,2,Trial 28
1,119447,279_C_2,6/23/2022,11/3/2022,ContextBTest,3,F,Ctrl,3,Trial 29
1,119447,279_C_2,6/23/2022,11/3/2022,ContextBTest,4,F,Ctrl,4,Trial 29
1,119476,279_C_2,6/23/2022,11/3/2022,ContextBTest,5,F,Ctrl,1,Trial 30
1,119476,279_C_2,6/23/2022,11/3/2022,ContextBTest,6,F,Ctrl,2,Trial 30
1,114736,265_E_5,6/28/2022,11/3/2022,ContextBTest,7,F,ELS,1,Trial 31
1,114736,265_E_5,6/28/2022,11/3/2022,ContextBTest,8,F,ELS,2,Trial 31
1,114736,265_E_5,6/28/2022,11/3/2022,ContextBTest,9,F,ELS,3,Trial 32
1,114736,265_E_5,6/28/2022,11/3/2022,ContextBTest,10,F,ELS,4,Trial 32
1,114678,237_E_3,6/26/2022,11/3/2022,ContextBTest,11,F,ELS,1,Trial 33
1,114678,237_E_3,6/26/2022,11/3/2022,ContextBTest,12,F,ELS,2,Trial 33
1,114678,237_E_3,6/26/2022,11/3/2022,ContextBTest,13,F,ELS,3,Trial 34
1,116303,288_C_2,6/16/2022,11/3/2022,ContextBTest,1,M,Ctrl,1,Trial 34
1,116303,288_C_2,6/16/2022,11/3/2022,ContextBTest,2,M,Ctrl,2,Trial 35
1,116303,288_C_2,6/16/2022,11/3/2022,ContextBTest,3,M,Ctrl,3,Trial 35
1,116303,288_C_2,6/16/2022,11/3/2022,ContextBTest,4,M,Ctrl,4,Trial 36
1,119470,237_E_3,6/26/2022,11/3/2022,ContextBTest,5,M,ELS,1,Trial 36
1,119470,237_E_3,6/26/2022,11/3/2022,ContextBTest,6,M,ELS,2,Trial 37
1,119470,237_E_3,6/26/2022,11/3/2022,ContextBTest,7,M,ELS,3,Trial 37
1,119470,237_E_3,6/26/2022,11/3/2022,ContextBTest,8,M,ELS,4,Trial 38
1,113342,265_E_5,6/28/2022,11/3/2022,ContextBTest,9,M,ELS,1,Trial 38
1,113342,265_E_5,6/28/2022,11/3/2022,ContextBTest,10,M,ELS,2,Trial 39
1,113342,265_E_5,6/28/2022,11/3/2022,ContextBTest,11,M,ELS,3,Trial 39
